id,name,size,old,new
371,RASMALAI,,,Sweets
379,RASMALAI,,,Sweets
101,RAW PEANUTS,1 LB,,Dry Goods
102,RAW PEANUTS,2 LB,,Dry Goods
323,RAW PEANUTS,3 LB,,Dry Goods
78,RED CHORI,4 LB,,Dry Goods
148,RED SPLIT LENTILS,4 LB,,Dry Goods
149,RED SPLIT LENTILS,2 LB,,Dry Goods
205,RICE FLOUR,4 LB,,Dry Goods
354,ROASTED CHANA,14 OZ,,Dry Goods
355,ROASTED CHANA,28 OZ,,Dry Goods
305,ROASTED CHANA DAL(DALIA,14 OZ,,Dry Goods
310,ROASTED CHANA DAL(DALIA,28 OZ,,Dry Goods
244,ROASTED CORN,7 OZ (200 GM),,Dry Goods
245,ROASTED CORN,14 OZ,,Dry Goods
219,ROASTED KALA CHANA,1 LB,,Dry Goods
249,ROASTED PEANUT,14 OZ,,Dry Goods
77,ROASTED PISTACHO,1 LB,,Dry Goods
168,ROASTED PISTACHO,2 LB,,Dry Goods
282,ROASTED SALTED CASHEW,14 OZ,,Dry Goods
283,ROASTED SALTED CASHEW,28 OZ,,Dry Goods
233,ROASTED SALTED CASHEWS,1 LB,,Dry Goods
12,ROASTED SALTED PISTACHO,1 LB,,Dry Goods
300,ROASTED SALTED PISTACHO,2 LB,,Dry Goods
213,ROSE BRAND BLACK PEPPER,7 OZ,,Spices
216,ROSE BRAND BLACK SALT,7 OZ,,Spices
212,ROSE BRAND CLOVE,3.5 OZ,,Spices
214,ROSE BRAND JAVETRI,3.5 OZ,,Spices
188,ROSE BRAND TUKMARIA,7 OZ,,Dry Goods
264,SAGO SEEDS,2 LB,,Dry Goods
265,SAGO SEEDS,4 LB,,Dry Goods
273,SHAKKAR PARA,14 OZ,,Sweets
386,SHRIKHAND,,,Sweets
393,SHYAM SAVERA,,,Sweets
285,SLIVERED ALMONDS,14 OZ,,Dry Goods
351,SONA MASOORI RICE,4 LB,,Dry Goods
313,SONA MASORI RICE,5 LB,,Dry Goods
319,SOOJI HALWA,,,Sweets
392,SOOJI LADOO,14 OZ,,Sweets
7,SPICEY CASHEW,1 LB,,Dry Goods
30,SQUARE JAGGERY,400 GM,,Dry Goods
277,STAR ANIES,200 GM,,Spices
304,STAR ANISE,400 GM,,Spices
438,STRAWBERRY MOUSSE,,,Sweets
335,TAMRIND PASTE,14 OZ,,Dry Goods
336,TAMRIND PASTE,7 OZ,,Dry Goods
424,TIL KHOYA BURFI,8 OZ,,Sweets
98,TILDA BASMATI RICE,2 LB,,Dry Goods
99,TILDA BASMATI RICE,4 LB,,Dry Goods
19,TOASTED CORN,7 OZ,,Dry Goods
